,,,,,,00126        Tarragona (Marques),,,,,,,,,,,,20/11/2025,,,
infcontrolalmacen,,,,,,,,,,,,,,,,,,,,,
,,,,,,Informe Control de Almacén,,,,,,,,,,,Pág. 1  de 8,,,,
Ordenado por Artículo,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Criterios:   , Fechas Cuadre:  Mes Panel de Control.",,,,,,,,,,,,,,,,Moneda de Uso: EUROS,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Cuadre Inicial,,,Inventario total,,,,01/11/2025  12:18:43 ,,,,Cuadre Final,,,Cuadre completo,,,,19/11/2025  01:09:57 ,,,
Empleado,,"AGUILO MORESO, JUDITH",,,,,,,,,Empleado,,"GALLEGO CHICA, MARIA DEL CARMEN",,,,,,,,
Fecha de grabación,,,01/11/2025  12:18:50 ,,,,,,,,Fecha de grabación,,,19/11/2025  01:10:36 ,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Artículo,,,,,,,,Inicial,Entradas,Salida,,Consumo,,Teórica,Desperdicio,Sobra - Falta,,Robo,%,Consumo,Real
,,,,,,,,,,,,,,,,,,,,,
4Q,,* MEZCLA 4 QUESOS,,,,,Kilogramo,,"1,561","48,000",,"48,579","0,982",,"11,000",,"22,64","11,982",,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
5Q,,* MEZCLA 5 QUESOS,,,,,Kilogramo,,"5,841","11,000",,"13,687","3,154",,"0,000",,,"3,154",,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
5QGO,,* MEZCLA 5 QUESOS GOURMET,,,,,Kilogramo,,"6,100","15,000","1,000","18,440","1,660",,"1,230",,"6,67","2,890",,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
7UP50,,* PET 7UP ZERO 500ML,,,,,Unidad,,"48,000","12,000",,"18,000","42,000",,"0,000",,,"42,000",,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
ABRG,,* SALSA AMERICAN BURGER 220ML,,,,,Kilogramo,,"3,415","1,760",,"3,235","1,940",,"0,000",,,"1,940",,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
ACE,,* ACEITE DE OLIVA  AJO (TP),,,,,Litro,,"3,824","1,000",,"2,774","2,050",,"0,000",,,"2,050",,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
ACOSP,,* ACEITE OLIVA SPRAY,,,,,Gramo,,"515,000",,,"170,030","344,970",,"720,406",,"100,00","1.065,376",,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
AEG,,* ALITAS ENVASE GRANDE,,,,,Unidad,,"2.418,000",,,,"2.418,000",,"0,000",,,"2.418,000",,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
AF15,,"* BOTELLA AGUA 1,5L FONTVELLA",,,,,Unidad,,"42,000","42,000",,"65,000","19,000",,"0,000",,,"19,000",,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
AF50,,"* BOTELLA AGUA 0,5L FONTVELLA",,,,,Unidad,,"176,000","324,000",,"256,000","244,000",,"0,000",,,"244,000",,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
